Name	Brain	Body
Tachyoryctes_splendens	0.27	2.369215857
Tamias_amoenus	0.14	1.705863712
Tamias_dorsalis	0.3	1.793790385
Tamias_minimus	0.2	1.656098202
Tamias_palmeri	0.3	1.783903579
Tamias_panamintinus	0.26	1.709269961
Tamias_quadrimaculatus	0.33	1.915399835
Tamias_quadrivittatus	0.23	1.794488047
Tamias_speciosus	0.27	1.777426822
Tamias_striatus	0.34	1.974511693
Tamias_townsendii	0.39	1.951337519
Tamiasciurus_hudsonicus	0.58	2.276231958
Tatera_indica	0.26	2.145196406
Thomomys_bottae	0.17	2.212054365
Thomomys_talpoides	0.09	2.023869501
Thryonomys_swinderianus	1.12	3.210853365
Tscherskia_triton	0.11	1.397940009
Uranomys_ruddi	-0.11	1.526339277
Xerus_erythropus	0.82	2.858837851
Xerus_inauris	0.88	2.602059991
Xerus_rutilus	0.71	2.50174373
Zapus_hudsonius	-0.26	1.242210032
Zapus_princeps	-0.3	1.389166084
Zygogeomys_trichopus	0.6	2.736396502
